name_with_owner,created_at,collected_at,age_years,accepted_pull_requests
codecrafters-io/build-your-own-x,2018-05-09 12:03:18+00:00,2026-08-13 22:53:59+00:00,8.26407081020103,157
sindresorhus/awesome,2014-07-11 13:42:37+00:00,2026-08-13 22:53:59+00:00,12.091397381296423,700
public-apis/public-apis,2016-03-20 23:49:42+00:00,2026-08-13 22:53:59+00:00,10.398251356250158,2131
freeCodeCamp/freeCodeCamp,2014-12-24 17:49:19+00:00,2026-08-13 22:53:59+00:00,11.636445103556671,29089
EbookFoundation/free-programming-books,2013-10-11 06:50:37+00:00,2026-08-13 22:53:59+00:00,12.839613975714249,7417
openclaw/openclaw,2025-11-24 10:16:47+00:00,2026-08-13 22:53:59+00:00,0.7187565594341775,24607
nilbuild/developer-roadmap,2017-03-15 13:45:52+00:00,2026-08-13 22:53:59+00:00,9.413773132304105,4390
donnemartin/system-design-primer,2017-02-26 16:15:28+00:00,2026-08-13 22:53:59+00:00,9.460032163409132,210
jwasham/coding-interview-university,2016-06-06 02:34:12+00:00,2026-08-13 22:53:59+00:00,10.187124084214263,415
vinta/awesome-python,2014-06-27 21:00:06+00:00,2026-08-13 22:53:59+00:00,12.128895511699241,738
awesome-selfhosted/awesome-selfhosted,2015-06-01 02:33:17+00:00,2026-08-13 22:53:59+00:00,11.202868469085102,0
practical-tutorials/project-based-learning,2017-04-12 05:07:46+00:00,2026-08-13 22:53:59+00:00,9.338098366162193,194
996icu/996.ICU,2019-03-26 07:31:14+00:00,2026-08-13 22:53:59+00:00,7.385737983877101,1071
obra/superpowers,2025-10-09 19:45:18+00:00,2026-08-13 22:53:59+00:00,0.8436167832788298,167
react/react,2013-05-24 16:15:54+00:00,2026-08-13 22:53:59+00:00,13.221838321038355,13033
torvalds/linux,2011-09-04 22:48:12+00:00,2026-08-13 22:53:59+00:00,14.940462741146348,0
affaan-m/ECC,2026-01-18 00:51:51+00:00,2026-08-13 22:53:59+00:00,0.5692488655664563,990
trimstray/the-book-of-secret-knowledge,2018-06-23 10:43:14+00:00,2026-08-13 22:53:59+00:00,8.141019754353943,122
NousResearch/hermes-agent,2025-07-22 22:22:28+00:00,2026-08-13 22:53:59+00:00,1.0596081767941796,10528
TheAlgorithms/Python,2016-07-16 09:44:01+00:00,2026-08-13 22:53:59+00:00,10.076792848632342,3088
mattpocock/skills,2026-02-03 11:15:53+00:00,2026-08-13 22:53:59+00:00,0.5242567875884098,86
vuejs/vue,2013-07-29 03:24:51+00:00,2026-08-13 22:53:59+00:00,13.042606155094177,1136
ossu/computer-science,2014-05-04 00:18:39+00:00,2026-08-13 22:53:59+00:00,12.27909980480138,315
