rq,metric,unit,row_type,participant_id,difficulty_block,treatment,manual_trial_id,ai_trial_id,n_expected,n_valid,n_missing,n_pairs,n_ties,n_nonzero,n_participants,median,q1,q3,iqr,minimum,maximum,manual_value,ai_value,difference,p_value,p_holm,rank_biserial,ci_low,ci_high,ci_method,note
RQ3,mean_cyclomatic_complexity,points,treatment,,,ai,,,9,6,3,,,,,7.0000,7.0000,9.2500,2.2500,5.0000,12.0000,,,,,,,,,,
RQ3,mean_cyclomatic_complexity,points,participant_treatment,P01,,ai,,,3,0,3,,,,,,,,,,,,,,,,,,,,
RQ3,mean_cyclomatic_complexity,points,participant_treatment,P02,,ai,,,3,3,0,,,,,7.0000,6.0000,9.5000,3.5000,5.0000,12.0000,,,,,,,,,,
RQ3,mean_cyclomatic_complexity,points,participant_treatment,P03,,ai,,,3,3,0,,,,,7.0000,7.0000,8.5000,1.5000,7.0000,10.0000,,,,,,,,,,
RQ3,mean_cyclomatic_complexity,points,pair,P01,B1,,P01-K02-manual,P01-K01-ai,1,0,1,0,,,,,,,,,,,,,,,,,,,correção auditada por data-quality-note.json e poll registrado
RQ3,mean_cyclomatic_complexity,points,pair,P01,B2,,P01-K03-manual,P01-K04-ai,1,0,1,0,,,,,,,,,,,,,,,,,,,
RQ3,mean_cyclomatic_complexity,points,pair,P01,B3,,P01-K05-manual,P01-K06-ai,1,0,1,0,,,,,,,,,,,,,,,,,,,
RQ3,mean_cyclomatic_complexity,points,pair,P02,B1,,P02-K02-manual,P02-K01-ai,1,0,1,0,,,,,,,,,,,5.0000,,,,,,,,
RQ3,mean_cyclomatic_complexity,points,pair,P02,B2,,P02-K03-manual,P02-K04-ai,1,1,0,1,,,,,,,,,,8.0000,12.0000,4.0000,,,,,,,
RQ3,mean_cyclomatic_complexity,points,pair,P02,B3,,P02-K06-manual,P02-K05-ai,1,0,1,0,,,,,,,,,,,7.0000,,,,,,,,
RQ3,mean_cyclomatic_complexity,points,pair,P03,B1,,P03-K01-manual,P03-K02-ai,1,1,0,1,,,,,,,,,,5.0000,7.0000,2.0000,,,,,,,
RQ3,mean_cyclomatic_complexity,points,pair,P03,B2,,P03-K04-manual,P03-K03-ai,1,1,0,1,,,,,,,,,,12.0000,7.0000,-5.0000,,,,,,,
RQ3,mean_cyclomatic_complexity,points,pair,P03,B3,,P03-K05-manual,P03-K06-ai,1,1,0,1,,,,,,,,,,8.0000,10.0000,2.0000,,,,,,,
RQ3,mean_cyclomatic_complexity,points,comparison,,,,,,9,4,5,4,0,4,2,,,,,,,,,2.0000,0.7500,1.0000,0.2000,-5.0000,4.0000,pair_bootstrap_95_exploratory,Wilcoxon exploratório: pares do mesmo participante não são independentes
RQ3,mean_cyclomatic_complexity,points,participant_level_comparison,,,,,,3,2,1,,0,2,2,,,,,,,,,3.0000,0.5000,,1.0000,,,,sensibilidade: uma mediana por participante
RQ3,mean_cyclomatic_complexity,points,participant_comparison,P01,,,,,3,0,3,0,0,0,,,,,,,,,,,,,,,,,
RQ3,mean_cyclomatic_complexity,points,participant_comparison,P02,,,,,3,1,2,1,0,1,,,,,,,,,,4.0000,1.0000,,1.0000,,,,
RQ3,mean_cyclomatic_complexity,points,participant_comparison,P03,,,,,3,3,0,3,0,3,,,,,,,,,,2.0000,1.0000,,0.0000,,,,
RQ3,duplication_percentage,%,treatment,,,manual,,,9,4,5,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,
RQ3,duplication_percentage,%,participant_treatment,P01,,manual,,,3,0,3,,,,,,,,,,,,,,,,,,,,
RQ3,duplication_percentage,%,participant_treatment,P02,,manual,,,3,1,2,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,
RQ3,duplication_percentage,%,participant_treatment,P03,,manual,,,3,3,0,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,
RQ3,duplication_percentage,%,treatment,,,ai,,,9,6,3,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,
RQ3,duplication_percentage,%,participant_treatment,P01,,ai,,,3,0,3,,,,,,,,,,,,,,,,,,,,
RQ3,duplication_percentage,%,participant_treatment,P02,,ai,,,3,3,0,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,
RQ3,duplication_percentage,%,participant_treatment,P03,,ai,,,3,3,0,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,
RQ3,duplication_percentage,%,pair,P01,B1,,P01-K02-manual,P01-K01-ai,1,0,1,0,,,,,,,,,,,,,,,,,,,correção auditada por data-quality-note.json e poll registrado
RQ3,duplication_percentage,%,pair,P01,B2,,P01-K03-manual,P01-K04-ai,1,0,1,0,,,,,,,,,,,,,,,,,,,
RQ3,duplication_percentage,%,pair,P01,B3,,P01-K05-manual,P01-K06-ai,1,0,1,0,,,,,,,,,,,,,,,,,,,
RQ3,duplication_percentage,%,pair,P02,B1,,P02-K02-manual,P02-K01-ai,1,0,1,0,,,,,,,,,,,0.0000,,,,,,,,
RQ3,duplication_percentage,%,pair,P02,B2,,P02-K03-manual,P02-K04-ai,1,1,0,1,,,,,,,,,,0.0000,0.0000,0.0000,,,,,,,
RQ3,duplication_percentage,%,pair,P02,B3,,P02-K06-manual,P02-K05-ai,1,0,1,0,,,,,,,,,,,0.0000,,,,,,,,
RQ3,duplication_percentage,%,pair,P03,B1,,P03-K01-manual,P03-K02-ai,1,1,0,1,,,,,,,,,,0.0000,0.0000,0.0000,,,,,,,
RQ3,duplication_percentage,%,pair,P03,B2,,P03-K04-manual,P03-K03-ai,1,1,0,1,,,,,,,,,,0.0000,0.0000,0.0000,,,,,,,
RQ3,duplication_percentage,%,pair,P03,B3,,P03-K05-manual,P03-K06-ai,1,1,0,1,,,,,,,,,,0.0000,0.0000,0.0000,,,,,,,
RQ3,duplication_percentage,%,comparison,,,,,,9,4,5,4,4,0,2,,,,,,,,,0.0000,,,,0.0000,0.0000,pair_bootstrap_95_exploratory,Wilcoxon exploratório: pares do mesmo participante não são independentes
RQ3,duplication_percentage,%,participant_level_comparison,,,,,,3,2,1,,2,0,2,,,,,,,,,0.0000,,,,,,,sensibilidade: uma mediana por participante
RQ3,duplication_percentage,%,participant_comparison,P01,,,,,3,0,3,0,0,0,,,,,,,,,,,,,,,,,
RQ3,duplication_percentage,%,participant_comparison,P02,,,,,3,1,2,1,1,0,,,,,,,,,,0.0000,,,,,,,
RQ3,duplication_percentage,%,participant_comparison,P03,,,,,3,3,0,3,3,0,,,,,,,,,,0.0000,,,,,,,
RQ3,loc,lines,treatment,,,manual,,,9,4,5,,,,,31.5000,29.2500,34.2500,5.0000,27.0000,38.0000,,,,,,,,,,
RQ3,loc,lines,participant_treatment,P01,,manual,,,3,0,3,,,,,,,,,,,,,,,,,,,,
RQ3,loc,lines,participant_treatment,P02,,manual,,,3,1,2,,,,,38.0000,38.0000,38.0000,0.0000,38.0000,38.0000,,,,,,,,,,
RQ3,loc,lines,participant_treatment,P03,,manual,,,3,3,0,,,,,30.0000,28.5000,31.5000,3.0000,27.0000,33.0000,,,,,,,,,,
RQ3,loc,lines,treatment,,,ai,,,9,6,3,,,,,33.5000,30.0000,35.5000,5.5000,21.0000,37.0000,,,,,,,,,,
RQ3,loc,lines,participant_treatment,P01,,ai,,,3,0,3,,,,,,,,,,,,,,,,,,,,
RQ3,loc,lines,participant_treatment,P02,,ai,,,3,3,0,,,,,33.0000,27.0000,33.5000,6.5000,21.0000,34.0000,,,,,,,,,,
RQ3,loc,lines,participant_treatment,P03,,ai,,,3,3,0,,,,,36.0000,32.5000,36.5000,4.0000,29.0000,37.0000,,,,,,,,,,
RQ3,loc,lines,pair,P01,B1,,P01-K02-manual,P01-K01-ai,1,0,1,0,,,,,,,,,,,,,,,,,,,correção auditada por data-quality-note.json e poll registrado
RQ3,loc,lines,pair,P01,B2,,P01-K03-manual,P01-K04-ai,1,0,1,0,,,,,,,,,,,,,,,,,,,
RQ3,loc,lines,pair,P01,B3,,P01-K05-manual,P01-K06-ai,1,0,1,0,,,,,,,,,,,,,,,,,,,
RQ3,loc,lines,pair,P02,B1,,P02-K02-manual,P02-K01-ai,1,0,1,0,,,,,,,,,,,21.0000,,,,,,,,
RQ3,loc,lines,pair,P02,B2,,P02-K03-manual,P02-K04-ai,1,1,0,1,,,,,,,,,,38.0000,33.0000,-5.0000,,,,,,,
RQ3,loc,lines,pair,P02,B3,,P02-K06-manual,P02-K05-ai,1,0,1,0,,,,,,,,,,,34.0000,,,,,,,,
RQ3,loc,lines,pair,P03,B1,,P03-K01-manual,P03-K02-ai,1,1,0,1,,,,,,,,,,27.0000,36.0000,9.0000,,,,,,,
RQ3,loc,lines,pair,P03,B2,,P03-K04-manual,P03-K03-ai,1,1,0,1,,,,,,,,,,33.0000,29.0000,-4.0000,,,,,,,
RQ3,loc,lines,pair,P03,B3,,P03-K05-manual,P03-K06-ai,1,1,0,1,,,,,,,,,,30.0000,37.0000,7.0000,,,,,,,
RQ3,loc,lines,comparison,,,,,,9,4,5,4,,,2,,,,,,,,,1.5000,,,,,,,Wilcoxon exploratório: pares do mesmo participante não são independentes
RQ3,loc,lines,participant_level_comparison,,,,,,3,2,1,,,,2,,,,,,,,,1.0000,,,,,,,sensibilidade: uma mediana por participante
RQ3,loc,lines,participant_comparison,P01,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,
RQ3,loc,lines,participant_comparison,P02,,,,,3,1,2,1,,,,,,,,,,,,-5.0000,,,,,,,
RQ3,loc,lines,participant_comparison,P03,,,,,3,3,0,3,,,,,,,,,,,,7.0000,,,,,,,
RQ3,maintainability_index,points,treatment,,,manual,,,9,4,5,,,,,63.6023,57.0625,70.9380,13.8755,56.2408,74.1473,,,,,,,,,,
RQ3,maintainability_index,points,participant_treatment,P01,,manual,,,3,0,3,,,,,,,,,,,,,,,,,,,,
RQ3,maintainability_index,points,participant_treatment,P02,,manual,,,3,1,2,,,,,74.1473,74.1473,74.1473,0.0000,74.1473,74.1473,,,,,,,,,,
RQ3,maintainability_index,points,participant_treatment,P03,,manual,,,3,3,0,,,,,57.3364,56.7886,63.6023,6.8137,56.2408,69.8682,,,,,,,,,,
RQ3,maintainability_index,points,treatment,,,ai,,,9,6,3,,,,,78.9807,76.0429,80.3470,4.3041,56.7413,81.3576,,,,,,,,,,
RQ3,maintainability_index,points,participant_treatment,P01,,ai,,,3,0,3,,,,,,,,,,,,,,,,,,,,
RQ3,maintainability_index,points,participant_treatment,P02,,ai,,,3,3,0,,,,,78.0130,76.6996,79.6853,2.9858,75.3861,81.3576,,,,,,,,,,
RQ3,maintainability_index,points,participant_treatment,P03,,ai,,,3,3,0,,,,,79.9483,68.3448,80.2141,11.8693,56.7413,80.4799,,,,,,,,,,
RQ3,maintainability_index,points,pair,P01,B1,,P01-K02-manual,P01-K01-ai,1,0,1,0,,,,,,,,,,,,,,,,,,,correção auditada por data-quality-note.json e poll registrado
