name_with_owner,descricao,valor,lado,severidade,mediana,primary_language,observacao
protocolbuffers/protobuf,pull requests aceitas,9765.0,acima,moderado,768.0,C++,
openai/codex,pull requests aceitas,9733.0,acima,moderado,768.0,Rust,
ziglang/zig,pull requests aceitas,9540.0,acima,moderado,768.0,Zig,
twbs/bootstrap,pull requests aceitas,9487.0,acima,moderado,768.0,MDX,
toeverything/AFFiNE,pull requests aceitas,9352.0,acima,moderado,768.0,TypeScript,
medusajs/medusa,pull requests aceitas,9320.0,acima,moderado,768.0,TypeScript,
ethereum/go-ethereum,pull requests aceitas,9279.0,acima,moderado,768.0,Go,
withastro/astro,pull requests aceitas,9244.0,acima,moderado,768.0,TypeScript,
mozilla/pdf.js,pull requests aceitas,9229.0,acima,moderado,768.0,JavaScript,
directus/directus,pull requests aceitas,9183.0,acima,moderado,768.0,TypeScript,
nushell/nushell,pull requests aceitas,9115.0,acima,moderado,768.0,Rust,
ToolJet/ToolJet,pull requests aceitas,9089.0,acima,moderado,768.0,JavaScript,
cypress-io/cypress,pull requests aceitas,8859.0,acima,moderado,768.0,TypeScript,
prometheus/prometheus,pull requests aceitas,8845.0,acima,moderado,768.0,Go,
tailscale/tailscale,pull requests aceitas,8716.0,acima,moderado,768.0,Go,
nestjs/nest,pull requests aceitas,8699.0,acima,moderado,768.0,TypeScript,
bevyengine/bevy,pull requests aceitas,8645.0,acima,moderado,768.0,Rust,
infiniflow/ragflow,pull requests aceitas,8550.0,acima,moderado,768.0,Go,
PowerShell/PowerShell,pull requests aceitas,8471.0,acima,moderado,768.0,C#,
novuhq/novu,pull requests aceitas,8456.0,acima,moderado,768.0,TypeScript,
streamlit/streamlit,pull requests aceitas,8380.0,acima,moderado,768.0,Python,
nuxt/nuxt,pull requests aceitas,8314.0,acima,moderado,768.0,TypeScript,
exacity/deeplearningbook-chinese,dias desde o último push,2452.0,acima,extremo,1.0,TeX,
GitSquared/edex-ui,dias desde o último push,1765.0,acima,extremo,1.0,JavaScript,
lib-pku/libpku,dias desde o último push,1688.0,acima,extremo,1.0,TeX,
adobe/brackets,dias desde o último push,1530.0,acima,extremo,1.0,JavaScript,
floodsung/Deep-Learning-Papers-Reading-Roadmap,dias desde o último push,1362.0,acima,extremo,1.0,Python,
atom/atom,dias desde o último push,1325.0,acima,extremo,1.0,JavaScript,
AFNetworking/AFNetworking,dias desde o último push,1311.0,acima,extremo,1.0,Objective-C,
resume/resume.github.com,dias desde o último push,1282.0,acima,extremo,1.0,JavaScript,
testerSunshine/12306,dias desde o último push,1236.0,acima,extremo,1.0,Python,
prakhar1989/awesome-courses,dias desde o último push,1204.0,acima,extremo,1.0,,
geekxh/hello-algorithm,dias desde o último push,1164.0,acima,extremo,1.0,Java,
FreeCodeCampChina/freecodecamp.cn,dias desde o último push,1131.0,acima,extremo,1.0,CSS,
nativefier/nativefier,dias desde o último push,1056.0,acima,extremo,1.0,TypeScript,
