name_with_owner,descricao,valor,lado,severidade,mediana,primary_language,observacao
google-gemini/gemini-cli,releases,592.0,acima,extremo,39.0,TypeScript,
SagerNet/sing-box,releases,584.0,acima,moderado,39.0,Go,
payloadcms/payload,releases,574.0,acima,moderado,39.0,TypeScript,
mui/material-ui,releases,572.0,acima,moderado,39.0,JavaScript,
meta-llama/llama,dias desde o último push,571.0,acima,extremo,1.0,Python,
fastlane/fastlane,releases,568.0,acima,moderado,39.0,Ruby,
toeverything/AFFiNE,releases,567.0,acima,moderado,39.0,TypeScript,
formulahendry/955.WLB,dias desde o último push,563.0,acima,extremo,1.0,,
Kong/insomnia,releases,562.0,acima,moderado,39.0,TypeScript,
langchain-ai/langgraph,releases,560.0,acima,moderado,39.0,Python,
traefik/traefik,releases,553.0,acima,moderado,39.0,Go,
react/create-react-app,dias desde o último push,551.0,acima,extremo,1.0,JavaScript,
backstage/backstage,releases,542.0,acima,moderado,39.0,TypeScript,
strapi/strapi,releases,541.0,acima,moderado,39.0,TypeScript,
bradtraversy/50projects50days,dias desde o último push,540.0,acima,extremo,1.0,CSS,
atom/atom,releases,538.0,acima,moderado,39.0,JavaScript,
minio/minio,releases,521.0,acima,moderado,39.0,Go,
opentofu/manifesto,dias desde o último push,520.0,acima,extremo,1.0,HTML,
mli/paper-reading,dias desde o último push,516.0,acima,extremo,1.0,,
QuantumNous/new-api,releases,512.0,acima,moderado,39.0,Go,
nodejs/node,releases,512.0,acima,moderado,39.0,JavaScript,
Homebrew/brew,releases,509.0,acima,moderado,39.0,Ruby,
xtekky/gpt4free,releases,504.0,acima,moderado,39.0,Python,
ByteByteGoHq/system-design-101,dias desde o último push,503.0,acima,extremo,1.0,,
kelseyhightower/kubernetes-the-hard-way,dias desde o último push,497.0,acima,extremo,1.0,,
bailicangdu/vue2-elm,dias desde o último push,496.0,acima,extremo,1.0,Vue,
serverless/serverless,releases,494.0,acima,moderado,39.0,JavaScript,
myshell-ai/OpenVoice,dias desde o último push,488.0,acima,extremo,1.0,Python,
syncthing/syncthing,releases,479.0,acima,moderado,39.0,Go,
reworkd/AgentGPT,dias desde o último push,478.0,acima,extremo,1.0,TypeScript,
react/react-native,releases,471.0,acima,moderado,39.0,C++,
babel/babel,releases,468.0,acima,moderado,39.0,TypeScript,
kdn251/interviews,dias desde o último push,465.0,acima,extremo,1.0,Java,
nextcloud/server,releases,463.0,acima,moderado,39.0,PHP,
AntonOsika/gpt-engineer,dias desde o último push,463.0,acima,extremo,1.0,Python,
webpack/webpack,releases,462.0,acima,moderado,39.0,JavaScript,
geekan/HowToLiveLonger,dias desde o último push,458.0,acima,extremo,1.0,,
gchq/CyberChef,releases,458.0,acima,moderado,39.0,JavaScript,
ultralytics/ultralytics,releases,452.0,acima,moderado,39.0,Python,
istio/istio,releases,450.0,acima,moderado,39.0,Go,
nomic-ai/gpt4all,dias desde o último push,450.0,acima,extremo,1.0,C++,
PhilJay/MPAndroidChart,dias desde o último push,441.0,acima,extremo,1.0,Java,
hashicorp/terraform,releases,437.0,acima,moderado,39.0,Go,
run-llama/llama_index,releases,433.0,acima,moderado,39.0,Python,
slidevjs/slidev,releases,430.0,acima,moderado,39.0,TypeScript,
astral-sh/ruff,releases,424.0,acima,moderado,39.0,Rust,
danielmiessler/Fabric,releases,423.0,acima,moderado,39.0,Go,
zsh-users/zsh-autosuggestions,dias desde o último push,422.0,acima,extremo,1.0,Shell,
deepseek-ai/DeepSeek-R1,dias desde o último push,419.0,acima,extremo,1.0,,
laurent22/joplin,releases,418.0,acima,moderado,39.0,TypeScript,
QuivrHQ/quivr,dias desde o último push,407.0,acima,extremo,1.0,Python,
cypress-io/cypress,releases,402.0,acima,moderado,39.0,TypeScript,
azl397985856/leetcode,dias desde o último push,400.0,acima,extremo,1.0,JavaScript,
maybe-finance/maybe,dias desde o último push,392.0,acima,extremo,1.0,Ruby,
slab/quill,dias desde o último push,391.0,acima,extremo,1.0,TypeScript,
XX-net/XX-Net,releases,390.0,acima,moderado,39.0,Python,
denoland/deno,releases,388.0,acima,moderado,39.0,Rust,
xyflow/xyflow,releases,384.0,acima,moderado,39.0,TypeScript,
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,dias desde o último push,384.0,acima,extremo,1.0,,
mem0ai/mem0,releases,381.0,acima,moderado,39.0,Python,
gohugoio/hugo,releases,381.0,acima,moderado,39.0,Go,
IceWhaleTech/CasaOS,dias desde o último push,379.0,acima,extremo,1.0,Go,
prometheus/prometheus,releases,377.0,acima,moderado,39.0,Go,
cline/cline,releases,375.0,acima,moderado,39.0,TypeScript,
mouredev/Hello-Python,dias desde o último push,374.0,acima,extremo,1.0,Python,
directus/directus,releases,372.0,acima,moderado,39.0,TypeScript,
atlassian/react-beautiful-dnd,dias desde o último push,367.0,acima,extremo,1.0,JavaScript,
996icu/996.ICU,dias desde o último push,363.0,acima,extremo,1.0,,
adam-p/markdown-here,dias desde o último push,363.0,acima,extremo,1.0,JavaScript,
huihut/interview,dias desde o último push,361.0,acima,extremo,1.0,C++,
fengdu78/Coursera-ML-AndrewNg-Notes,dias desde o último push,360.0,acima,extremo,1.0,HTML,
ziishaned/learn-regex,dias desde o último push,359.0,acima,extremo,1.0,,
jwasham/coding-interview-university,dias desde o último push,357.0,acima,extremo,1.0,,
alebcay/awesome-shell,dias desde o último push,357.0,acima,extremo,1.0,,
deepseek-ai/DeepSeek-V3,dias desde o último push,357.0,acima,extremo,1.0,Python,
twitter/the-algorithm,dias desde o último push,346.0,acima,extremo,1.0,Scala,
sdmg15/Best-websites-a-programmer-should-visit,dias desde o último push,338.0,acima,extremo,1.0,,
Lordog/dive-into-llms,dias desde o último push,314.0,acima,extremo,1.0,Jupyter Notebook,
TheAlgorithms/C-Plus-Plus,dias desde o último push,313.0,acima,extremo,1.0,C++,
florinpop17/app-ideas,dias desde o último push,313.0,acima,extremo,1.0,,
TapXWorld/ChinaTextbook,dias desde o último push,306.0,acima,extremo,1.0,Roff,
inkonchain/ink-kit,dias desde o último push,304.0,acima,extremo,1.0,TypeScript,
0voice/interview_internal_reference,dias desde o último push,302.0,acima,extremo,1.0,Python,
AobingJava/JavaFamily,dias desde o último push,290.0,acima,extremo,1.0,,
jaredpalmer/formik,dias desde o último push,283.0,acima,extremo,1.0,TypeScript,
chatchat-space/Langchain-Chatchat,dias desde o último push,283.0,acima,extremo,1.0,Python,
sickcodes/Docker-OSX,dias desde o último push,282.0,acima,extremo,1.0,Shell,
karpathy/nanoGPT,dias desde o último push,281.0,acima,extremo,1.0,Python,
hankcs/HanLP,dias desde o último push,277.0,acima,extremo,1.0,Python,
hiroi-sora/Umi-OCR,dias desde o último push,273.0,acima,extremo,1.0,Python,
ziglang/zig,dias desde o último push,266.0,acima,extremo,1.0,Zig,
lllyasviel/Fooocus,dias desde o último push,262.0,acima,extremo,1.0,Python,
Asabeneh/30-Days-Of-JavaScript,dias desde o último push,257.0,acima,extremo,1.0,JavaScript,
wagoodman/dive,dias desde o último push,248.0,acima,extremo,1.0,Go,
chubin/cheat.sh,dias desde o último push,240.0,acima,extremo,1.0,Python,
bregman-arie/devops-exercises,dias desde o último push,236.0,acima,extremo,1.0,Python,
mtdvio/every-programmer-should-know,dias desde o último push,234.0,acima,extremo,1.0,,
LC044/WeChatMsg,dias desde o último push,233.0,acima,extremo,1.0,,
GitHubDaily/GitHubDaily,dias desde o último push,232.0,acima,extremo,1.0,,
binhnguyennus/awesome-scalability,dias desde o último push,228.0,acima,extremo,1.0,,
songquanpeng/one-api,dias desde o último push,223.0,acima,extremo,1.0,JavaScript,
satwikkansal/wtfpython,dias desde o último push,219.0,acima,extremo,1.0,Python,
QSCTech/zju-icicles,dias desde o último push,212.0,acima,extremo,1.0,HTML,
FoundationAgents/MetaGPT,dias desde o último push,211.0,acima,extremo,1.0,Python,
labmlai/annotated_deep_learning_paper_implementations,dias desde o último push,210.0,acima,extremo,1.0,Python,
binary-husky/gpt_academic,dias desde o último push,207.0,acima,extremo,1.0,Python,
brillout/awesome-react-components,dias desde o último push,206.0,acima,extremo,1.0,,
slatedocs/slate,dias desde o último push,200.0,acima,extremo,1.0,,
mlabonne/llm-course,dias desde o último push,196.0,acima,extremo,1.0,,
gulpjs/gulp,dias desde o último push,192.0,acima,moderado,1.0,JavaScript,
carbon-app/carbon,dias desde o último push,191.0,acima,moderado,1.0,JavaScript,
zenorocha/clipboard.js,dias desde o último push,189.0,acima,moderado,1.0,JavaScript,
airbnb/lottie-android,dias desde o último push,186.0,acima,moderado,1.0,Java,
getify/You-Dont-Know-JS,dias desde o último push,186.0,acima,moderado,1.0,,
ashishps1/awesome-system-design-resources,dias desde o último push,185.0,acima,moderado,1.0,Java,
ytdl-org/youtube-dl,dias desde o último push,182.0,acima,moderado,1.0,Python,
deepseek-ai/awesome-deepseek-integration,dias desde o último push,178.0,acima,moderado,1.0,,
labuladong/fucking-algorithm,dias desde o último push,173.0,acima,moderado,1.0,Markdown,
anthropics/prompt-eng-interactive-tutorial,dias desde o último push,172.0,acima,moderado,1.0,Jupyter Notebook,
jgthms/bulma,dias desde o último push,172.0,acima,moderado,1.0,CSS,
kuchin/awesome-cto,dias desde o último push,171.0,acima,moderado,1.0,,
AUTOMATIC1111/stable-diffusion-webui,dias desde o último push,171.0,acima,moderado,1.0,Python,
babysor/MockingBird,dias desde o último push,170.0,acima,moderado,1.0,Python,
GokuMohandas/Made-With-ML,dias desde o último push,168.0,acima,moderado,1.0,Jupyter Notebook,
TheAlgorithms/JavaScript,dias desde o último push,166.0,acima,moderado,1.0,JavaScript,
CorentinJ/Real-Time-Voice-Cloning,dias desde o último push,164.0,acima,moderado,1.0,Python,
dair-ai/Prompt-Engineering-Guide,dias desde o último push,162.0,acima,moderado,1.0,MDX,
google/leveldb,dias desde o último push,162.0,acima,moderado,1.0,C++,
alvarotrigo/fullPage.js,dias desde o último push,156.0,acima,moderado,1.0,JavaScript,
typicode/husky,dias desde o último push,153.0,acima,moderado,1.0,JavaScript,
donnemartin/system-design-primer,dias desde o último push,153.0,acima,moderado,1.0,Python,
localstack/localstack,dias desde o último push,150.0,acima,moderado,1.0,Python,
typicode/json-server,dias desde o último push,150.0,acima,moderado,1.0,JavaScript,
openai/CLIP,dias desde o último push,148.0,acima,moderado,1.0,Jupyter Notebook,
karpathy/autoresearch,dias desde o último push,147.0,acima,moderado,1.0,Python,
FuelLabs/fuels-ts,dias desde o último push,146.0,acima,moderado,1.0,TypeScript,
openai/gym,dias desde o último push,146.0,acima,moderado,1.0,Python,
imputnet/cobalt,dias desde o último push,136.0,acima,moderado,1.0,Svelte,
2noise/ChatTTS,dias desde o último push,132.0,acima,moderado,1.0,Python,
ItzCrazyKns/Vane,dias desde o último push,131.0,acima,moderado,1.0,TypeScript,
LeCoupa/awesome-cheatsheets,dias desde o último push,130.0,acima,moderado,1.0,JavaScript,
shiyu-coder/Kronos,dias desde o último push,129.0,acima,moderado,1.0,Python,
microsoft/autogen,dias desde o último push,127.0,acima,moderado,1.0,Python,
airbnb/javascript,dias desde o último push,126.0,acima,moderado,1.0,JavaScript,
coreybutler/nvm-windows,dias desde o último push,125.0,acima,moderado,1.0,Go,
jesseduffield/lazydocker,dias desde o último push,123.0,acima,moderado,1.0,Go,
multica-ai/andrej-karpathy-skills,dias desde o último push,122.0,acima,moderado,1.0,,
Solido/awesome-flutter,dias desde o último push,121.0,acima,moderado,1.0,Dart,
musistudio/claude-code-router,percentual de issues fechadas,30.293663,abaixo,moderado,87.5,TypeScript,
geekcomputers/Python,percentual de issues fechadas,29.889299,abaixo,moderado,87.5,Python,
aymericdamien/TensorFlow-Examples,percentual de issues fechadas,29.707113,abaixo,moderado,87.5,Jupyter Notebook,
Leonxlnx/taste-skill,percentual de issues fechadas,29.268293,abaixo,moderado,87.5,JavaScript,
shiyu-coder/Kronos,percentual de issues fechadas,29.209622,abaixo,moderado,87.5,Python,
lencx/ChatGPT,percentual de issues fechadas,29.140625,abaixo,moderado,87.5,Rust,
dair-ai/Prompt-Engineering-Guide,percentual de issues fechadas,29.133858,abaixo,moderado,87.5,MDX,
jamiepine/voicebox,percentual de issues fechadas,28.005865,abaixo,moderado,87.5,TypeScript,
paperclipai/paperclip,percentual de issues fechadas,27.379716,abaixo,moderado,87.5,TypeScript,
CompVis/stable-diffusion,percentual de issues fechadas,27.027027,abaixo,moderado,87.5,Jupyter Notebook,
OpenCut-app/OpenCut,percentual de issues fechadas,26.775956,abaixo,moderado,87.5,TypeScript,
jackfrued/Python-100-Days,percentual de issues fechadas,26.474623,abaixo,moderado,87.5,Jupyter Notebook,
TencentARC/GFPGAN,percentual de issues fechadas,26.470588,abaixo,moderado,87.5,Python,
florinpop17/app-ideas,percentual de issues fechadas,26.368159,abaixo,moderado,87.5,,
fxsjy/jieba,percentual de issues fechadas,26.339795,abaixo,moderado,87.5,Python,
facebookresearch/segment-anything,percentual de issues fechadas,25.348189,abaixo,moderado,87.5,Jupyter Notebook,
youngyangyang04/leetcode-master,percentual de issues fechadas,24.199288,abaixo,moderado,87.5,Shell,
google-research/google-research,percentual de issues fechadas,24.043716,abaixo,moderado,87.5,Jupyter Notebook,
lllyasviel/ControlNet,percentual de issues fechadas,23.958333,abaixo,moderado,87.5,Python,
XingangPan/DragGAN,percentual de issues fechadas,23.958333,abaixo,moderado,87.5,Python,
xinntao/Real-ESRGAN,percentual de issues fechadas,23.429319,abaixo,moderado,87.5,Python,
ashishpatel26/500-AI-Agents-Projects,percentual de issues fechadas,21.73913,abaixo,moderado,87.5,Python,
fengdu78/Coursera-ML-AndrewNg-Notes,percentual de issues fechadas,21.428571,abaixo,moderado,87.5,HTML,
myshell-ai/OpenVoice,percentual de issues fechadas,20.891365,abaixo,moderado,87.5,Python,
GitHubDaily/GitHubDaily,percentual de issues fechadas,20.268873,abaixo,moderado,87.5,,
VoltAgent/awesome-design-md,percentual de issues fechadas,20.25974,abaixo,moderado,87.5,,
alex/what-happens-when,percentual de issues fechadas,18.0,abaixo,moderado,87.5,,
ruanyf/weekly,percentual de issues fechadas,16.210526,abaixo,moderado,87.5,,
anthropics/claude-plugins-official,percentual de issues fechadas,15.988909,abaixo,moderado,87.5,Python,
zbezj/HEU_KMS_Activator,percentual de issues fechadas,15.609756,abaixo,moderado,87.5,,
kelseyhightower/nocode,percentual de issues fechadas,14.840918,abaixo,moderado,87.5,Dockerfile,
anthropics/skills,percentual de issues fechadas,13.387978,abaixo,moderado,87.5,Python,
type-challenges/type-challenges,percentual de issues fechadas,10.974923,abaixo,moderado,87.5,TypeScript,
anthropics/financial-services,percentual de issues fechadas,10.227273,abaixo,moderado,87.5,Python,
elder-plinius/CL4R1T4S,percentual de issues fechadas,10.126582,abaixo,moderado,87.5,,
anthropics/prompt-eng-interactive-tutorial,percentual de issues fechadas,9.52381,abaixo,moderado,87.5,Jupyter Notebook,
floodsung/Deep-Learning-Papers-Reading-Roadmap,percentual de issues fechadas,8.62069,abaixo,moderado,87.5,Python,
ComposioHQ/awesome-claude-skills,percentual de issues fechadas,7.692308,abaixo,moderado,87.5,Python,
