name_with_owner,url,primary_language,metrica,descricao,valor,lado,severidade,limite_inferior,limite_superior,mediana,observacao
protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf,C++,accepted_pull_requests,pull requests aceitas,9765.0,acima,moderado,-4700.375,8300.625,768.0,
openai/codex,https://github.com/openai/codex,Rust,accepted_pull_requests,pull requests aceitas,9733.0,acima,moderado,-4700.375,8300.625,768.0,
ziglang/zig,https://github.com/ziglang/zig,Zig,accepted_pull_requests,pull requests aceitas,9540.0,acima,moderado,-4700.375,8300.625,768.0,
twbs/bootstrap,https://github.com/twbs/bootstrap,MDX,accepted_pull_requests,pull requests aceitas,9487.0,acima,moderado,-4700.375,8300.625,768.0,
toeverything/AFFiNE,https://github.com/toeverything/AFFiNE,TypeScript,accepted_pull_requests,pull requests aceitas,9352.0,acima,moderado,-4700.375,8300.625,768.0,
medusajs/medusa,https://github.com/medusajs/medusa,TypeScript,accepted_pull_requests,pull requests aceitas,9320.0,acima,moderado,-4700.375,8300.625,768.0,
ethereum/go-ethereum,https://github.com/ethereum/go-ethereum,Go,accepted_pull_requests,pull requests aceitas,9279.0,acima,moderado,-4700.375,8300.625,768.0,
withastro/astro,https://github.com/withastro/astro,TypeScript,accepted_pull_requests,pull requests aceitas,9244.0,acima,moderado,-4700.375,8300.625,768.0,
mozilla/pdf.js,https://github.com/mozilla/pdf.js,JavaScript,accepted_pull_requests,pull requests aceitas,9229.0,acima,moderado,-4700.375,8300.625,768.0,
directus/directus,https://github.com/directus/directus,TypeScript,accepted_pull_requests,pull requests aceitas,9183.0,acima,moderado,-4700.375,8300.625,768.0,
nushell/nushell,https://github.com/nushell/nushell,Rust,accepted_pull_requests,pull requests aceitas,9115.0,acima,moderado,-4700.375,8300.625,768.0,
ToolJet/ToolJet,https://github.com/ToolJet/ToolJet,JavaScript,accepted_pull_requests,pull requests aceitas,9089.0,acima,moderado,-4700.375,8300.625,768.0,
cypress-io/cypress,https://github.com/cypress-io/cypress,TypeScript,accepted_pull_requests,pull requests aceitas,8859.0,acima,moderado,-4700.375,8300.625,768.0,
prometheus/prometheus,https://github.com/prometheus/prometheus,Go,accepted_pull_requests,pull requests aceitas,8845.0,acima,moderado,-4700.375,8300.625,768.0,
tailscale/tailscale,https://github.com/tailscale/tailscale,Go,accepted_pull_requests,pull requests aceitas,8716.0,acima,moderado,-4700.375,8300.625,768.0,
nestjs/nest,https://github.com/nestjs/nest,TypeScript,accepted_pull_requests,pull requests aceitas,8699.0,acima,moderado,-4700.375,8300.625,768.0,
bevyengine/bevy,https://github.com/bevyengine/bevy,Rust,accepted_pull_requests,pull requests aceitas,8645.0,acima,moderado,-4700.375,8300.625,768.0,
infiniflow/ragflow,https://github.com/infiniflow/ragflow,Go,accepted_pull_requests,pull requests aceitas,8550.0,acima,moderado,-4700.375,8300.625,768.0,
PowerShell/PowerShell,https://github.com/PowerShell/PowerShell,C#,accepted_pull_requests,pull requests aceitas,8471.0,acima,moderado,-4700.375,8300.625,768.0,
novuhq/novu,https://github.com/novuhq/novu,TypeScript,accepted_pull_requests,pull requests aceitas,8456.0,acima,moderado,-4700.375,8300.625,768.0,
streamlit/streamlit,https://github.com/streamlit/streamlit,Python,accepted_pull_requests,pull requests aceitas,8380.0,acima,moderado,-4700.375,8300.625,768.0,
nuxt/nuxt,https://github.com/nuxt/nuxt,TypeScript,accepted_pull_requests,pull requests aceitas,8314.0,acima,moderado,-4700.375,8300.625,768.0,
langchain-ai/langchain,https://github.com/langchain-ai/langchain,Python,releases_count,releases,1000.0,acima,extremo,-220.5,367.5,39.0,valor truncado pela API
vercel/next.js,https://github.com/vercel/next.js,JavaScript,releases_count,releases,1000.0,acima,extremo,-220.5,367.5,39.0,valor truncado pela API
openai/codex,https://github.com/openai/codex,Rust,releases_count,releases,1000.0,acima,extremo,-220.5,367.5,39.0,valor truncado pela API
electron/electron,https://github.com/electron/electron,C++,releases_count,releases,1000.0,acima,extremo,-220.5,367.5,39.0,valor truncado pela API
ggml-org/llama.cpp,https://github.com/ggml-org/llama.cpp,C++,releases_count,releases,1000.0,acima,extremo,-220.5,367.5,39.0,valor truncado pela API
lobehub/lobehub,https://github.com/lobehub/lobehub,TypeScript,releases_count,releases,1000.0,acima,extremo,-220.5,367.5,39.0,valor truncado pela API
zed-industries/zed,https://github.com/zed-industries/zed,Rust,releases_count,releases,1000.0,acima,extremo,-220.5,367.5,39.0,valor truncado pela API
home-assistant/core,https://github.com/home-assistant/core,Python,releases_count,releases,1000.0,acima,extremo,-220.5,367.5,39.0,valor truncado pela API
ruvnet/ruflo,https://github.com/ruvnet/ruflo,TypeScript,releases_count,releases,1000.0,acima,extremo,-220.5,367.5,39.0,valor truncado pela API
