name_with_owner,primary_language,language_group,is_popular_language,open_issues,closed_issues,total_issues,has_issues,closed_issues_percentage
rasbt/LLMs-from-scratch,Jupyter Notebook,Jupyter Notebook,False,2,238,240,True,99.16666666666667
pytorch/pytorch,Python,Python,True,13893,46564,60457,True,77.02003076566815
Anduin2017/HowToCook,,Sem linguagem identificada,False,464,393,857,True,45.85764294049008
neovim/neovim,Vim Script,Vim Script,False,1589,12904,14493,True,89.03608638653144
fastapi/fastapi,Python,Python,True,1,3543,3544,True,99.97178329571106
angular/angular,TypeScript,TypeScript,True,991,29908,30899,True,96.79277646525777
ruanyf/weekly,,Sem linguagem identificada,False,8756,1694,10450,True,16.210526315789473
mtdvio/every-programmer-should-know,,Sem linguagem identificada,False,16,31,47,True,65.95744680851064
JuliusBrussee/caveman,Go,Go,True,171,185,356,True,51.96629213483146
ant-design/ant-design,TypeScript,TypeScript,True,1014,31756,32770,True,96.90570643881598
TauricResearch/TradingAgents,Python,Python,True,184,273,457,True,59.73741794310722
mui/material-ui,JavaScript,JavaScript,True,1378,19137,20515,True,93.28296368510846
nvbn/thefuck,Python,Python,True,308,483,791,True,61.06194690265486
tailwindlabs/tailwindcss,TypeScript,TypeScript,True,25,4877,4902,True,99.49000407996736
florinpop17/app-ideas,,Sem linguagem identificada,False,148,53,201,True,26.368159203980102
microsoft/Web-Dev-For-Beginners,JavaScript,JavaScript,True,67,392,459,True,85.40305010893246
hacksider/Deep-Live-Cam,Python,Python,True,22,1156,1178,True,98.13242784380306
oven-sh/bun,Rust,Rust,False,3256,14340,17596,True,81.49579449874972
puppeteer/puppeteer,TypeScript,TypeScript,True,247,7154,7401,True,96.66261316038374
microsoft/playwright,TypeScript,TypeScript,True,139,17692,17831,True,99.22045875161236
ryanmcdermott/clean-code-javascript,JavaScript,JavaScript,True,81,166,247,True,67.20647773279353
nvm-sh/nvm,Shell,Shell,True,337,2111,2448,True,86.23366013071896
iluwatar/java-design-patterns,Java,Java,True,121,865,986,True,87.72819472616634
earendil-works/pi,TypeScript,TypeScript,True,86,5144,5230,True,98.35564053537284
karpathy/autoresearch,Python,Python,True,54,59,113,True,52.21238938053098
punkpeye/awesome-mcp-servers,,Sem linguagem identificada,False,5,551,556,True,99.10071942446042
deepseek-ai/DeepSeek-R1,,Sem linguagem identificada,False,13,716,729,True,98.21673525377228
3b1b/manim,Python,Python,True,462,775,1237,True,62.651576394502825
thedotmack/claude-mem,JavaScript,JavaScript,True,27,1910,1937,True,98.6060918946825
ruvnet/RuView,Rust,Rust,False,37,435,472,True,92.16101694915254
storybookjs/storybook,TypeScript,TypeScript,True,1578,12961,14539,True,89.14643372996768
opencv/opencv,C++,C++,True,2541,9098,11639,True,78.16822751095455
louislam/uptime-kuma,JavaScript,JavaScript,True,710,4224,4934,True,85.61005269558167
PanJiaChen/vue-element-admin,Vue,Vue,False,1256,2357,3613,True,65.23664544699696
home-assistant/core,Python,Python,True,2882,70467,73349,True,96.07083941158025
bitcoin/bitcoin,C++,C++,True,335,8842,9177,True,96.3495695761142
Stirling-Tools/Stirling-PDF,Java,Java,True,364,1498,1862,True,80.45112781954887
sherlock-project/sherlock,Python,Python,True,98,1078,1176,True,91.66666666666666
mermaid-js/mermaid,TypeScript,TypeScript,True,1443,2341,3784,True,61.86575052854123
nexu-io/open-design,TypeScript,TypeScript,True,444,1354,1798,True,75.3058954393771
modelcontextprotocol/servers,TypeScript,TypeScript,True,245,934,1179,True,79.21967769296013
microsoft/ML-For-Beginners,Jupyter Notebook,Jupyter Notebook,False,3,163,166,True,98.19277108433735
vllm-project/vllm,Python,Python,True,2178,15276,17454,True,87.5214850464077
gohugoio/hugo,Go,Go,True,209,8000,8209,True,97.45401388719698
gin-gonic/gin,Go,Go,True,604,1797,2401,True,74.84381507705122
zed-industries/zed,Rust,Rust,False,2511,20048,22559,True,88.86918746398334
infiniflow/ragflow,Go,Go,True,1291,6350,7641,True,83.10430571914671
astral-sh/uv,Rust,Rust,False,2360,6873,9233,True,74.43951045164086
localsend/localsend,Dart,Dart,False,990,800,1790,True,44.6927374301676
addyosmani/agent-skills,JavaScript,JavaScript,True,56,82,138,True,59.42028985507246
ChatGPTNextWeb/NextChat,TypeScript,TypeScript,True,705,2906,3611,True,80.47632234837995
MunGell/awesome-for-beginners,,Sem linguagem identificada,False,20,194,214,True,90.65420560747664
django/django,Python,Python,True,0,0,0,False,
PaddlePaddle/PaddleOCR,Python,Python,True,160,10561,10721,True,98.50760190280758
sveltejs/svelte,JavaScript,JavaScript,True,954,8223,9177,True,89.60444589735208
syncthing/syncthing,Go,Go,True,358,5604,5962,True,93.99530358939953
ByteByteGoHq/system-design-101,,Sem linguagem identificada,False,44,20,64,True,31.25
odysseus-dev/odysseus,Python,Python,True,978,1109,2087,True,53.13847628174413
OpenCut-app/OpenCut,TypeScript,TypeScript,True,268,98,366,True,26.775956284153008
laravel/laravel,Blade,Blade,False,0,0,0,False,
OpenHands/OpenHands,TypeScript,TypeScript,True,300,4253,4553,True,93.41093784318032
macrozheng/mall,Java,Java,True,12,494,506,True,97.62845849802372
bregman-arie/devops-exercises,Python,Python,True,37,71,108,True,65.74074074074075
DopplerHQ/awesome-interview-questions,,Sem linguagem identificada,False,27,34,61,True,55.73770491803278
realworld-apps/realworld,TypeScript,TypeScript,True,26,523,549,True,95.26411657559198
koala73/worldmonitor,TypeScript,TypeScript,True,249,1397,1646,True,84.87241798298906
Developer-Y/cs-video-courses,,Sem linguagem identificada,False,0,0,0,False,
animate-css/animate.css,CSS,CSS,False,43,843,886,True,95.14672686230247
junegunn/fzf,Go,Go,True,266,2939,3205,True,91.70046801872076
fighting41love/funNLP,Python,Python,True,44,48,92,True,52.17391304347826
vitejs/vite,TypeScript,TypeScript,True,498,8299,8797,True,94.33897919745368
tonsky/FiraCode,Clojure,Clojure,False,422,965,1387,True,69.57462148521991
mlabonne/llm-course,,Sem linguagem identificada,False,66,33,99,True,33.33333333333333
lobehub/lobehub,TypeScript,TypeScript,True,298,6102,6400,True,95.34375
jesseduffield/lazygit,Go,Go,True,855,1846,2701,True,68.34505738615327
spring-projects/spring-boot,Java,Java,True,478,42467,42945,True,98.88694842240075
bytedance/deer-flow,Python,Python,True,523,1352,1875,True,72.10666666666667
TapXWorld/ChinaTextbook,Roff,Roff,False,111,80,191,True,41.8848167539267
netdata/netdata,Go,Go,True,190,8118,8308,True,97.7130476649013
swisskyrepo/PayloadsAllTheThings,Python,Python,True,0,0,0,False,
hoppscotch/hoppscotch,TypeScript,TypeScript,True,567,1938,2505,True,77.36526946107784
Egonex-AI/Understand-Anything,TypeScript,TypeScript,True,108,135,243,True,55.55555555555556
d2l-ai/d2l-zh,Python,Python,True,0,0,0,False,
anuraghazra/github-readme-stats,JavaScript,JavaScript,True,168,1228,1396,True,87.96561604584528
doocs/advanced-java,Java,Java,True,0,149,149,True,100.0
Z4nzu/hackingtool,Python,Python,True,118,406,524,True,77.48091603053436
paperclipai/paperclip,TypeScript,TypeScript,True,2098,791,2889,True,27.379716164762897
coder/code-server,TypeScript,TypeScript,True,143,3723,3866,True,96.3010863942059
ventoy/Ventoy,C,C,False,897,1935,2832,True,68.32627118644068
unclecode/crawl4ai,Python,Python,True,37,984,1021,True,96.37610186092067
Leonxlnx/taste-skill,JavaScript,JavaScript,True,29,12,41,True,29.268292682926827
