id,name_with_owner,language_category,metrica,descricao,valor,limite_inferior,limite_superior
MDEwOlJlcG9zaXRvcnkzMTYyOTc1MQ==,cypress-io/cypress,Popular,accepted_pull_requests,Pull requests aceitas,8859,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnk1MjI4MTI4Mw==,mastodon/mastodon,Não popular,accepted_pull_requests,Pull requests aceitas,20655,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnk4NTgxMjc=,pandas-dev/pandas,Popular,accepted_pull_requests,Pull requests aceitas,29424,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkxNzcyODE2NA==,hashicorp/terraform,Popular,accepted_pull_requests,Pull requests aceitas,13651,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnk2MDI0NjM1OQ==,ClickHouse/ClickHouse,Popular,accepted_pull_requests,Pull requests aceitas,69267,-4700.375,8300.625
R_kgDOHy0BzQ,astral-sh/ruff,Não popular,accepted_pull_requests,Pull requests aceitas,16058,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnk1MzIzODgxMw==,Homebrew/brew,Não popular,accepted_pull_requests,Pull requests aceitas,15257,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkxNjQ0MTk2,JuliaLang/julia,Não popular,accepted_pull_requests,Pull requests aceitas,27811,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkzMDIwMzkzNQ==,metabase/metabase,Não popular,accepted_pull_requests,Pull requests aceitas,46183,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkzNTAzNjAxODQ=,calcom/cal.diy,Popular,accepted_pull_requests,Pull requests aceitas,13099,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkyMzQ3OTg2NzU=,bevyengine/bevy,Não popular,accepted_pull_requests,Pull requests aceitas,8645,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnk3NTY5NTc4,discourse/discourse,Não popular,accepted_pull_requests,Pull requests aceitas,37258,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkzMzg4NDg5MQ==,apache/airflow,Popular,accepted_pull_requests,Pull requests aceitas,39752,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkzNTg2NjY5NA==,RocketChat/Rocket.Chat,Popular,accepted_pull_requests,Pull requests aceitas,16935,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkxMjc3NjkyMzE=,DIYgod/RSSHub,Popular,accepted_pull_requests,Pull requests aceitas,13177,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkyMDg3Mjg3NzI=,milvus-io/milvus,Popular,accepted_pull_requests,Pull requests aceitas,26968,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkyMDQwODY4NjI=,streamlit/streamlit,Popular,accepted_pull_requests,Pull requests aceitas,8380,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkyNzcyOTg4MA==,grpc/grpc,Popular,accepted_pull_requests,Pull requests aceitas,20867,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnk4NzMzMjg=,getsentry/sentry,Popular,accepted_pull_requests,Pull requests aceitas,91209,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnk5MTI1MzY5OA==,ccxt/ccxt,Popular,accepted_pull_requests,Pull requests aceitas,15604,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnk3MTkzMjM0OQ==,ray-project/ray,Popular,accepted_pull_requests,Pull requests aceitas,32181,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnk0MDI3NjI3NA==,ziglang/zig,Não popular,accepted_pull_requests,Pull requests aceitas,9540,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkyNzU5OTM4ODU=,appsmithorg/appsmith,Popular,accepted_pull_requests,Pull requests aceitas,14329,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkzNTI5MzMxNDA=,ToolJet/ToolJet,Popular,accepted_pull_requests,Pull requests aceitas,9089,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkxMzg3NTQ3OTA=,duckdb/duckdb,Popular,accepted_pull_requests,Pull requests aceitas,11685,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnk0MTk4NjM2OQ==,pingcap/tidb,Popular,accepted_pull_requests,Pull requests aceitas,36068,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkxODYwMjQyOTg=,nushell/nushell,Não popular,accepted_pull_requests,Pull requests aceitas,9115,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnk3NTgyMTQzMg==,llvm/llvm-project,Não popular,accepted_pull_requests,Pull requests aceitas,97396,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnk0MDAyMTU5NjQ=,novuhq/novu,Popular,accepted_pull_requests,Pull requests aceitas,8456,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkyNjM3Mjc4NTU=,pola-rs/polars,Não popular,accepted_pull_requests,Pull requests aceitas,13694,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkzNzQ0ODQ1MQ==,mattermost/mattermost,Popular,accepted_pull_requests,Pull requests aceitas,22335,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkyMjkzMTU4,rapid7/metasploit-framework,Não popular,accepted_pull_requests,Pull requests aceitas,12056,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkxNzYyMDM0Nw==,dotnet/aspnetcore,Popular,accepted_pull_requests,Pull requests aceitas,19852,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnk3NDE3NTgwNQ==,istio/istio,Popular,accepted_pull_requests,Pull requests aceitas,30600,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkxODY0MjMz,frappe/erpnext,Popular,accepted_pull_requests,Pull requests aceitas,32173,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkyMzU5MDE4MTM=,PostHog/posthog,Popular,accepted_pull_requests,Pull requests aceitas,54903,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkxNjk2NzcyOTc=,vlang/v,Não popular,accepted_pull_requests,Pull requests aceitas,13799,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkzMzkwMjQz,servo/servo,Não popular,accepted_pull_requests,Pull requests aceitas,25776,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnk3MTIyNTk0,directus/directus,Popular,accepted_pull_requests,Pull requests aceitas,9183,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnk5NzU0OTgz,eugenp/tutorials,Popular,accepted_pull_requests,Pull requests aceitas,13834,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnk2MDI0MzE5Nw==,nextcloud/server,Popular,accepted_pull_requests,Pull requests aceitas,34206,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkxMTEyNTU4OQ==,keycloak/keycloak,Popular,accepted_pull_requests,Pull requests aceitas,21069,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkxNTQ3Mzk1OTc=,jax-ml/jax,Popular,accepted_pull_requests,Pull requests aceitas,20725,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkzMTI4ODk1OA==,hashicorp/vault,Popular,accepted_pull_requests,Pull requests aceitas,21334,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkyMzQ3Mzk5NzY=,medusajs/medusa,Popular,accepted_pull_requests,Pull requests aceitas,9320,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkyMzc1MjM0NDI=,tailscale/tailscale,Popular,accepted_pull_requests,Pull requests aceitas,8716,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnk3NTQ4OTg2,laravel/framework,Popular,accepted_pull_requests,Pull requests aceitas,18505,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkyMzYwOTU1NzY=,backstage/backstage,Popular,accepted_pull_requests,Pull requests aceitas,21594,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkxNjAwODM3OTU=,SerenityOS/serenity,Popular,accepted_pull_requests,Pull requests aceitas,20158,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkyMjExMjQz,apache/kafka,Popular,accepted_pull_requests,Pull requests aceitas,13874,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkzMDUxNDQ3NDY=,tinygrad/tinygrad,Popular,accepted_pull_requests,Pull requests aceitas,12373,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnk1NzM2MDgw,FreeCAD/FreeCAD,Popular,accepted_pull_requests,Pull requests aceitas,14486,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkxOTMyMTU1NTQ=,n8n-io/n8n,Popular,releases_count,Releases,770,-220.5,367.5
R_kgDOOiiGLw,anomalyco/opencode,Popular,releases_count,Releases,861,-220.5,367.5
R_kgDOIPDwlg,langchain-ai/langchain,Popular,releases_count,Releases,1000,-220.5,367.5
MDEwOlJlcG9zaXRvcnk3MDEwNzc4Ng==,vercel/next.js,Popular,releases_count,Releases,1000,-220.5,367.5
MDEwOlJlcG9zaXRvcnkyOTAyODc3NQ==,react/react-native,Popular,releases_count,Releases,471,-220.5,367.5
R_kgDOJH_K4A,ggml-org/llama.cpp,Popular,releases_count,Releases,1000,-220.5,367.5
MDEwOlJlcG9zaXRvcnkyMDU4MDQ5OA==,kubernetes/kubernetes,Popular,releases_count,Releases,814,-220.5,367.5
MDEwOlJlcG9zaXRvcnk5Mzg0MjY3,electron/electron,Popular,releases_count,Releases,1000,-220.5,367.5
MDEwOlJlcG9zaXRvcnkyNzE5Mzc3OQ==,nodejs/node,Popular,releases_count,Releases,512,-220.5,367.5
MDEwOlJlcG9zaXRvcnkxMzM0NDIzODQ=,denoland/deno,Não popular,releases_count,Releases,388,-220.5,367.5
R_kgDOOYsS4Q,openai/codex,Não popular,releases_count,Releases,1000,-220.5,367.5
R_kgDOObWEYA,google-gemini/gemini-cli,Popular,releases_count,Releases,592,-220.5,367.5
MDEwOlJlcG9zaXRvcnkyNDE5NTMzOQ==,angular/angular,Popular,releases_count,Releases,693,-220.5,367.5
MDEwOlJlcG9zaXRvcnkzNDUyNjg4NA==,ant-design/ant-design,Popular,releases_count,Releases,759,-220.5,367.5
MDEwOlJlcG9zaXRvcnkyMzA4MzE1Ng==,mui/material-ui,Popular,releases_count,Releases,572,-220.5,367.5
MDEwOlJlcG9zaXRvcnk5MDc5NjY2Mw==,puppeteer/puppeteer,Popular,releases_count,Releases,701,-220.5,367.5
MDEwOlJlcG9zaXRvcnk1NDE3MzU5Mw==,storybookjs/storybook,Popular,releases_count,Releases,1000,-220.5,367.5
MDEwOlJlcG9zaXRvcnkxMjg4ODk5Mw==,home-assistant/core,Popular,releases_count,Releases,1000,-220.5,367.5
MDEwOlJlcG9zaXRvcnkxMTE4MDY4Nw==,gohugoio/hugo,Popular,releases_count,Releases,381,-220.5,367.5
MDEwOlJlcG9zaXRvcnkzNDA1NDc1MjA=,zed-industries/zed,Não popular,releases_count,Releases,1000,-220.5,367.5
MDEwOlJlcG9zaXRvcnk3NDI5MzMyMQ==,sveltejs/svelte,Popular,releases_count,Releases,636,-220.5,367.5
MDEwOlJlcG9zaXRvcnkxNDcxMjg1MA==,syncthing/syncthing,Popular,releases_count,Releases,479,-220.5,367.5
MDEwOlJlcG9zaXRvcnkyNTc0ODU0MjI=,vitejs/vite,Popular,releases_count,Releases,714,-220.5,367.5
R_kgDOJlox8w,lobehub/lobehub,Popular,releases_count,Releases,1000,-220.5,367.5
MDEwOlJlcG9zaXRvcnkxNTExMTgyMQ==,grafana/grafana,Popular,releases_count,Releases,640,-220.5,367.5
MDEwOlJlcG9zaXRvcnk0MzQ0MTQwMw==,strapi/strapi,Popular,releases_count,Releases,541,-220.5,367.5
R_kgDOHvxvHg,toeverything/AFFiNE,Popular,releases_count,Releases,567,-220.5,367.5
R_kgDOO07yiQ,ruvnet/ruflo,Popular,releases_count,Releases,1000,-220.5,367.5
